연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
928,전북,익산시,익산 고구마(순) 축제,지역특산물-농산물·과일·채소,2025-08-08,2025-08-09
929,전북,정읍시,제18회 정읍 구절초 꽃축제,자연생태-꽃·식물,2025-10-10,2025-10-26
930,전북,정읍시,제36회 정읍사문화제,전통역사-전통·민속,2025-10-25,2025-10-26
932,전북,정읍시,2025 벚꽃축제,자연생태-꽃·식물,2025-04-03,2025-04-07
933,전북,정읍시,2025 물빛축제,문화예술-음악·공연,2025-08-15,2025-08-17
934,전북,남원시,제95회 춘향제,문화예술-음악·공연,2025-04-30,2025-05-06
935,전북,남원시,제33회 흥부제,문화예술-음악·공연,2025-10-24,2025-10-26
936,전북,남원시,남원 봄꾳 문화재,문화예술-음악·공연,2025-03-29,2025-03-30
939,전북,남원시,제11회 혼불문학 축제,문화예술-문학·독서,2025-11-01,2025-11-02
940,전북,김제시,제27회 김제지평선축제,문화예술-음악·공연,2025-09-24,2025-09-28
941,전북,김제시,2025 김제 모악뮤직페스티벌,문화예술-음악·공연,2025-04-26,2025-04-27
942,전북,김제시,2025 꽃빛드리축제,문화예술-음악·공연,2025-04-04,2025-04-06
943,전북,김제시,지평선광활햇감자축제,지역특산물-농산물·과일·채소,2025-04-12,2025-04-13
944,전북,김제시,제14회 지평선 추억의 보리밭 축제,자연생태-산·숲·생태,2025-05-03,2025-05-05
945,전북,김제시,제3회 김제 자원순화 새로보미축제,자연생태-산·숲·생태,2025-09-05,2025-09-06
946,전북,완주군,제 23회 완주 삼례딸기축제,지역특산물-농산물·과일·채소,2025-03-07,2025-03-09
951,전북,진안군,제21회 진안고원 운장산 고로쇠축제,지역특산물-먹거리·로컬장터,2025-03-08,2025-03-09
955,전북,무주군,제29회 무주반딧불축제,자연생태-곤충·반딧불,2025-09-06,2025-09-14
956,전북,무주군,무주안성낙화놀이축제,전통역사-전통·민속,2025-06-06,2025-06-07
958,전북,무주군,무주산골영화제,문화예술-연극·뮤지컬·영화,2025-06-06,2025-06-08
959,전북,장수군,레드푸드 페스티벌(제19회 장수한우랑사과랑 축제),지역특산물-농산물·과일·채소,2025-09-18,2025-09-21
960,전북,장수군,제3회 쿨밸리페스티벌,자연생태-산·숲·생태,2025-08-01,2025-08-03
961,전북,장수군,제9회 번암물빛축제,자연생태-산·숲·생태,2025-07-25,2025-07-26
963,전북,임실군,임실N치즈축제,지역특산물-먹거리·로컬장터,2025-10-08,2025-10-12
966,전북,임실군,의견문화제(임실N펫스타),문화예술-음악·공연,2025-05-03,2025-05-05
967,전북,임실군,필봉마을굿축제,문화예술-음악·공연,2025-09-19,2025-09-21
968,전북,임실군,사선문화제,문화예술-음악·공연,2025-09-25,2025-09-28
969,전북,임실군,옥정호벚꽃축제,자연생태-꽃·식물,2025-04-06,2025-04-07
974,전북,순창군,제29회 추령장승축제,전통역사-전통·민속,2025-10-25,2025-10-26
975,전북,순창군,제20회 순창장류축제,지역특산물-먹거리·로컬장터,2025-10-17,2025-10-19
976,전북,순창군,떡볶이 페스타,지역특산물-먹거리·로컬장터,2025-11-15,2025-11-16
977,전북,고창군,제3회 고창 벚꽃축제,자연생태-꽃·식물,2025-04-04,2025-04-06
978,전북,고창군,제22회 청보리밭 축제,자연생태-산·숲·생태,2025-04-19,2025-05-11
